Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
belize,rent per month,apartment (3 bedrooms) in city centre,720.43 €,"459.45-1,148.62",720.43,"(459.45, 1.148)",459.45,1.148
belize,rent per month,apartment (3 bedrooms) outside of centre,627.80 €,"367.56-1,148.62",627.8,"(367.56, 1.148)",367.56,1.148
belize,buy apartment price,price per square meter to buy apartment in city centre,"1,328.26 €","183.78-2,472.74",1.328,"(183.78, 2.472)",183.78,2.472
belize,buy apartment price,price per square meter to buy apartment outside of centre,"1,270.99 €","1,058.33-1,483.64",1.27,"(58.33, 1.483)",58.33,1.483
belize,salaries and financing,average monthly net salary (after tax),977.63 €,,977.63,,,
belize,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",12.50,7.50-15.00,12.5,"(7.5, 15.0)",7.5,15.0
benin,rent per month,apartment (1 bedroom) in city centre,166.42 €,91.47-304.90,166.42,"(91.47, 304.9)",91.47,304.9
benin,rent per month,apartment (1 bedroom) outside of centre,121.96 €,38.11-228.67,121.96,"(38.11, 228.67)",38.11,228.67
benin,rent per month,apartment (3 bedrooms) in city centre,457.35 €,228.67-609.80,457.35,"(228.67, 609.8)",228.67,609.8
benin,rent per month,apartment (3 bedrooms) outside of centre,263.52 €,121.96-381.12,263.52,"(121.96, 381.12)",121.96,381.12
benin,buy apartment price,price per square meter to buy apartment outside of centre,"2,286.74 €",,2.286,,,
benin,salaries and financing,average monthly net salary (after tax),215.97 €,,215.97,,,
benin,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.00,,5.0,,,
bermuda,rent per month,apartment (1 bedroom) in city centre,"3,233.82 €","2,481.03-4,135.05",3.233,"(481.03, 4.135)",481.03,4.135
bermuda,rent per month,apartment (1 bedroom) outside of centre,"2,155.88 €","1,470.24-3,675.60",2.155,"(470.24, 3.675)",470.24,3.675
bermuda,rent per month,apartment (3 bedrooms) in city centre,"7,685.35 €","5,513.40-13,783.50",7.685,"(513.4, 13.783)",513.4,13.783
bermuda,rent per month,apartment (3 bedrooms) outside of centre,"6,508.88 €","4,135.05-11,026.80",6.508,"(135.05, 11.026)",135.05,11.026
bermuda,buy apartment price,price per square meter to buy apartment in city centre,"10,618.21 €","8,209.49-13,783.50",10.618,"(209.49, 13.783)",209.49,13.783
bermuda,buy apartment price,price per square meter to buy apartment outside of centre,"5,694.22 €","5,513.40-5,934.57",5.694,"(513.4, 5.934)",513.4,5.934
bermuda,salaries and financing,average monthly net salary (after tax),"5,953.49 €",,5.953,,,
bermuda,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",7.08,5.00-10.00,7.08,"(5.0, 10.0)",5.0,10.0
bhutan,rent per month,apartment (1 bedroom) in city centre,103.30 €,79.18-149.99,103.3,"(79.18, 149.99)",79.18,149.99
bhutan,rent per month,apartment (1 bedroom) outside of centre,66.15 €,28.15-95.02,66.15,"(28.15, 95.02)",28.15,95.02
bhutan,rent per month,apartment (3 bedrooms) in city centre,179.10 €,137.25-211.15,179.1,"(137.25, 211.15)",137.25,211.15
bhutan,rent per month,apartment (3 bedrooms) outside of centre,130.78 €,84.44-177.64,130.78,"(84.44, 177.64)",84.44,177.64
bhutan,buy apartment price,price per square meter to buy apartment in city centre,"1,425.27 €","475.09-3,167.26",1.425,"(475.09, 3.167)",475.09,3.167
bhutan,buy apartment price,price per square meter to buy apartment outside of centre,"1,530.84 €","105.58-2,956.11",1.53,"(105.58, 2.956)",105.58,2.956
bhutan,salaries and financing,average monthly net salary (after tax),525.24 €,,525.24,,,
bhutan,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",10.75,5.00-12.00,10.75,"(5.0, 12.0)",5.0,12.0
